State,Crime,Sentence_mean
Western Australia,02 Acts intended to cause injury,2.6
Western Australia,03 Sexual assault and related offences,7.2
Western Australia,04 Dangerous/negligent acts,2.8
Western Australia,05 Abduction/harassment ,3.1
Western Australia,06 Robbery/extortion,4.3
Western Australia,07 Unlawful entry with intent,2.9
Western Australia,08 Theft,2.5
Western Australia,09 Fraud/deception,2.9
Western Australia,10 Illicit drug offences,7.0
Western Australia,11 Weapons/explosives ,2.2
Western Australia,12 Property damage and environmental pollution,3.2
Western Australia,13 Public order offences,3.8
Western Australia,14 Traffic and vehicle regulatory offences,0.9
Western Australia,15 Offences against justice,1.4
Western Australia,16 Miscellaneous offences,4.1
Tasmania,01 Homicide and related offences,22.4
Tasmania,02 Acts intended to cause injury,3.3
Tasmania,03 Sexual assault and related offences,7.1
Tasmania,04 Dangerous/negligent acts,2.2
Tasmania,05 Abduction/harassment ,0.0
Tasmania,06 Robbery/extortion,4.6
Tasmania,07 Unlawful entry with intent,0.8
Tasmania,08 Theft,1.4
Tasmania,09 Fraud/deception,2.2
Tasmania,10 Illicit drug offences,3.8
Tasmania,11 Weapons/explosives ,1.5
Tasmania,12 Property damage and environmental pollution,2.0
Tasmania,13 Public order offences,2.9
Tasmania,14 Traffic and vehicle regulatory offences,0.5
Tasmania,15 Offences against justice,2.2
Tasmania,16 Miscellaneous offences,0.0
Northern Territory,01 Homicide and related offences,10.4
Northern Territory,02 Acts intended to cause injury,2.0
Northern Territory,03 Sexual assault and related offences,8.0
Northern Territory,04 Dangerous/negligent acts,2.9
Northern Territory,05 Abduction/harassment ,1.4
Northern Territory,06 Robbery/extortion,4.3
Northern Territory,07 Unlawful entry with intent,2.6
Northern Territory,08 Theft,2.9
Northern Territory,09 Fraud/deception,0.0
Northern Territory,10 Illicit drug offences,5.0
Northern Territory,11 Weapons/explosives ,1.0
Northern Territory,12 Property damage and environmental pollution,1.7
Northern Territory,13 Public order offences,1.1
Northern Territory,14 Traffic and vehicle regulatory offences,0.6
Northern Territory,15 Offences against justice,1.3
Northern Territory,16 Miscellaneous offences,0.0
Australia Capital Territory,01 Homicide and related offences,18.5
Australia Capital Territory,02 Acts intended to cause injury,6.5
Australia Capital Territory,03 Sexual assault and related offences,9.7
Australia Capital Territory,04 Dangerous/negligent acts,3.1
Australia Capital Territory,05 Abduction/harassment ,0.0
Australia Capital Territory,06 Robbery/extortion,6.9
Australia Capital Territory,07 Unlawful entry with intent,4.2
Australia Capital Territory,08 Theft,1.2
Australia Capital Territory,09 Fraud/deception,n.p.
Australia Capital Territory,10 Illicit drug offences,6.2
Australia Capital Territory,11 Weapons/explosives ,3.4
Australia Capital Territory,12 Property damage and environmental pollution,3.9
Australia Capital Territory,13 Public order offences,0.0
Australia Capital Territory,14 Traffic and vehicle regulatory offences,0.0
Australia Capital Territory,15 Offences against justice,1.9
Australia Capital Territory,16 Miscellaneous offences,0.0
Australia,01 Homicide and related offences,17.3
Australia,02 Acts intended to cause injury,3.1
Australia,03 Sexual assault and related offences,8.7
Australia,04 Dangerous/negligent acts,2.8
Australia,05 Abduction/harassment ,5.1
Australia,06 Robbery/extortion,5.3
Australia,07 Unlawful entry with intent,3.3
Australia,08 Theft,2.0
Australia,09 Fraud/deception,3.4
Australia,10 Illicit drug offences,7.2
Australia,11 Weapons/explosives ,3.3
Australia,12 Property damage and environmental pollution,3.3
Australia,13 Public order offences,2.6
Australia,14 Traffic and vehicle regulatory offences,0.9
Australia,15 Offences against justice,1.6
Australia,16 Miscellaneous offences,4.5
