Age_group,Crime,Acts
55–59 years,Unlawful entry with intent,44
55–59 years,Theft,23
55–59 years,Fraud/ deception,37
55–59 years,Illicit drug offences,207
55–59 years,Weapons/ explosives ,15
55–59 years,Property damage and environmental pollution,17
55–59 years,Public order offences,3
55–59 years,Traffic and vehicle regulatory offences,13
55–59 years,Offences against justice,80
55–59 years,Miscellaneous offences,0
60–64 years,Homicide and related offences,188
60–64 years,Acts intended to cause injury,74
60–64 years,Sexual assault and related offences,416
60–64 years,Dangerous/ negligent acts,13
60–64 years,Abduction/ harassment ,7
60–64 years,Robbery/ extortion,8
60–64 years,Unlawful entry with intent,10
60–64 years,Theft,11
60–64 years,Fraud/ deception,22
60–64 years,Illicit drug offences,107
60–64 years,Weapons/ explosives ,3
60–64 years,Property damage and environmental pollution,3
60–64 years,Public order offences,0
60–64 years,Traffic and vehicle regulatory offences,3
60–64 years,Offences against justice,37
60–64 years,Miscellaneous offences,3
65 years and over,Homicide and related offences,244
65 years and over,Acts intended to cause injury,31
65 years and over,Sexual assault and related offences,915
65 years and over,Dangerous/ negligent acts,4
65 years and over,Abduction/ harassment ,6
65 years and over,Robbery/ extortion,9
65 years and over,Unlawful entry with intent,6
65 years and over,Theft,8
65 years and over,Fraud/ deception,39
65 years and over,Illicit drug offences,101
65 years and over,Weapons/ explosives ,10
65 years and over,Property damage and environmental pollution,5
65 years and over,Public order offences,3
65 years and over,Traffic and vehicle regulatory offences,0
65 years and over,Offences against justice,38
65 years and over,Miscellaneous offences,9
